Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty,Variant Command
3331692,6439,4019.0,10,UPDATE
3331767,5959,3722.0,28,UPDATE
3332186,1959,1221.0,32,UPDATE
3332191,1949,1217.0,32,UPDATE
3332193,1899,1182.0,32,UPDATE
3332195,1919,1199.0,32,UPDATE
3332197,1989,1238.0,32,UPDATE
3332199,1909,1190.0,32,UPDATE
3332201,1939,1212.0,32,UPDATE
3332499,1009,629.0,17,UPDATE
3333077,1849,1151.0,45,UPDATE
3333078,1919,1198.0,54,UPDATE
3333140,2939,1835.0,41,UPDATE
3333143,1849,1155.0,109,UPDATE
3333148,1479,925.0,193,UPDATE
3333165,1769,1106.0,15,UPDATE
3333193,1789,1113.0,15,UPDATE
3333221,1879,1175.0,15,UPDATE
3333249,1899,1184.0,15,UPDATE
3333277,1839,1145.0,15,UPDATE
3333305,1869,1163.0,15,UPDATE
3333417,1909,1192.0,15,UPDATE
3333445,1839,1144.0,15,UPDATE
3333473,1869,1164.0,15,UPDATE
3333501,1989,1239.0,15,UPDATE
3333529,1879,1174.0,15,UPDATE
3333532,1649,1031.0,32,UPDATE
3333533,1889,1176.0,32,UPDATE
3333534,1679,1045.0,32,UPDATE
3333536,1729,1079.0,32,UPDATE
3333538,1659,1036.0,32,UPDATE
3333540,1689,1053.0,32,UPDATE
3333557,1969,1230.0,15,UPDATE
3333613,1899,1185.0,15,UPDATE
3333641,1939,1208.0,15,UPDATE
3333669,1789,1113.0,15,UPDATE
3333725,1799,1120.0,15,UPDATE
3333753,1929,1205.0,15,UPDATE
3333781,1849,1151.0,15,UPDATE
3333809,1869,1167.0,15,UPDATE
3333909,1369,852.0,43,UPDATE
3333946,1109,688.0,21,UPDATE
3334263,1669,1043.0,18,UPDATE
3334264,1719,1074.0,31,UPDATE
3334272,1529,951.0,18,UPDATE
3334273,1569,979.0,31,UPDATE
3334281,2359,1474.0,8,UPDATE
3334282,2429,1518.0,15,UPDATE
3334290,2249,1406.0,8,UPDATE
3334291,2319,1447.0,15,UPDATE
3334331,979,608.0,39,UPDATE
3334374,1509,942.0,39,UPDATE
3334389,1789,1118.0,67,UPDATE
3334402,2199,1370.0,39,UPDATE
3334868,5629,3513.0,7,UPDATE
3334955,1459,909.0,31,UPDATE
3335613,2309,1441.0,52,UPDATE
3335709,1959,1222.0,52,UPDATE
3335713,1769,1105.0,12,UPDATE
3335749,2019,1259.0,28,UPDATE
3335914,679,424.0,47,UPDATE
3335915,1359,848.0,22,UPDATE
3335922,1079,672.0,137,UPDATE
3336005,939,587.0,57,UPDATE
3336010,829,517.0,87,UPDATE
3336015,769,480.0,87,UPDATE
3336034,1439,896.0,43,UPDATE
3336038,1239,771.0,43,UPDATE
3336089,659,407.0,113,UPDATE
3336117,1119,694.0,67,UPDATE
3336132,689,430.0,114,UPDATE
3336236,1319,820.0,40,UPDATE
3336246,1259,784.0,47,UPDATE
3336250,1169,730.0,45,UPDATE
3336260,999,622.0,57,UPDATE
3336268,969,605.0,57,UPDATE
3336409,2309,1439.0,73,UPDATE
3336446,619,385.0,76,UPDATE
3336467,709,441.0,97,UPDATE
3336469,689,428.0,97,UPDATE
3336470,649,405.0,29,UPDATE
3336471,699,433.0,98,UPDATE
3336480,959,595.0,125,UPDATE
3336502,1199,747.0,47,UPDATE
